job_title,company_name,company_location,salary,job_type,job_description_html,link
Cashiers and Shop Assistants,Mambo's Storage & Home,"Cape Town, Western Cape",,Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText"">JOIN OUR EXCELLENT TEAM AT THE MAAMBOS IN SANDOWN RETAIL CROSSING!!!!!!!!!! 
<br/>We are hiring 
<br/>
<b>Job advert:</b> Cashiers/ Shop assistants 
<br/>Tickled pink at what we have in store for you! 
<br/>Thrive on the opportunities that one of the country’s fastest-leading and growing plastics and household retailers has to offer. Join Mambos for a challenging, yet rewarding career in the retail industry. 
<br/>We are here to deliver service excellence through efficient customer service, point of sale (POS) operational activities and merchandising in store that leads to a positive customer experience. 
<br/>
<br/>
<b>Personality traits:</b>
<br/> Retail Savvy 
<br/>Reliable and trustworthy 
<br/>Professional 
<br/>Great communicator 
<br/>Love for the customer 
<br/>Problem solver 
<br/>Team player 
<br/>Friendly with a can-do attitude 
<br/>REQUIREMENTS 
<br/>
<br/>
<b>Requirements:</b>
<br/>
<b>Essential:</b> Grade 12. 
<br/>
<b>Desirable:</b> experience in a customer-facing role within the retail/ FMCG store operations environment. 
<br/>If you are excited to deliver great values to customers every day; take a sense of pride and ownership in helping drive positive results; are committed to treating colleagues and customers with respect; believe in the power of diversity and inclusion; want to make a positive impact on the world around you; come join our team. You’re going to like it here!</div>",https://za.indeed.com/rc/clk?jk=291f2034592b2132&bb=W6OEXL3b5Q6LAxJUw5L4x0yoXME-qxR2py2e_UpDZqRktlOgX0DHIN8Ku-vnsw6lqBFvYYLgd8kIwbdYXtcmmWMPyJP8WmO2x7jDSIZ12-c%3D&xkcb=SoBB67M3G_OERUwsXx0JbzkdCdPP&fccid=c9e852005d09ca40&vjs=3
Teacher - Business Studies,ADvTECH,"Cape Town, Western Cape",,Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
<p><b>ADvTECH is the leading provider of private education in Africa, passionately committed to enriching people’s lives and futures. The academic strategy of ADvTECH’s School’s Division is to ensure that each student progresses incrementally toward mastery in a learning environment that is flexible, inspiring, engaging and challenging. ADvTECH houses a number of prestigious school brands offering IEB, Cambridge &amp; IB curricula and boasts an online home schooling delivery option as well.</b><br/> <br/> <b>Duties</b><br/> Educators in the FET phase will be responsible for planning, organizing and implementing appropriate instructional programs in a high school environment that guide and encourage students to develop and fulfil their academic potential and prepare them for life after graduation. They will need :-</p>
<ul>
<li> to deliver future focused education in which students are motivated, inspired and challenged;</li>
<li> to demonstrate strength of character, integrity and professionalism, at all times</li>
<li> to develop and maintain constructive and ongoing partnerships with colleagues, parents, guardians and members of the community</li>
<li> to communicate and collaborate with all members of the learning community in a positive, respectful and open-minded way</li>
</ul>
<p> They will be accountable for the following specific areas of performance :-</p>
<ul>
<li> Academic Delivery</li>
<li> Academic Assessment &amp; Reporting</li>
<li> Student Behaviour Management</li>
<li> School Brand Ambassadorship</li>
<li> Administration</li>
<li> Health &amp; Safety</li>
</ul>
<b> Qualifications &amp; Experience</b>
<br/>
<ul>
<li> a degree (NQF level 7) and PGCE or B. Education (FET) with a specialization in the subjects to be taught</li>
<li> SACE certification and a police clearance are requirements</li>
<li> 2-5 years Teaching Experience</li>
<li> 2-5 years Specialist subject teaching</li>
<li> Computer and digital literacy</li>
<li> First Aid</li>
</ul>
<b> Attributes &amp; Competencies</b>
<br/>
<ul>
<li> A Lifelong learner who continually undertakes personal inquiry, reflection and action to inform their practice and understanding of teaching &amp; learning and remains abreast of global education trends</li>
<li> Demonstrated planning and organisation skills with superior detail orientation</li>
<li> Exceptional interpersonal skills with excellent written and verbal abilities and professional presentation skills</li>
<li> A proven track record of managing professional relationships with maturity and high EQ</li>
<li> Professional time management is a minimum requirement of the role</li>
<li> Demonstrated evidence of the ability to think critically and problem solve appropriately</li>
</ul>
<br/> START DATE: 1 January 2024
</div></div>",https://za.indeed.com/rc/clk?jk=207fc34393563d85&bb=W6OEXL3b5Q6LAxJUw5L4x-NmTa9U1jczNaxYDyIl-fQNDhzPKLhC1cqjAPyUebhmMb5yPygSqbiM7eYg9J_d9tUgpIpwTH4ew2dLVefQYt4%3D&xkcb=SoD167M3G_OERUwsXx0IbzkdCdPP&fccid=c51775901c2f7385&vjs=3
File Store Assistant,CBRE Excellerate,"Bellville, Western Cape",,Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
 Position title : FILE STORE ASSISTANT
 <br/> Position reports to : BUSINESS SUPPORT SUPERVISOR
 <br/> Business Unit : FACILITIES MANAGEMENT
 <br/>
<br/>
<b>Main purpose / objective of the position:</b>
<br/> Perform all Electronic Imaging Process activities &amp; duties at the Sanlam Contract.
 <br/>
<br/>
<b>Decision making authority:</b>
<br/> Has the authority to execute all Key Performance Areas as stated on this form.
 <br/>
<br/>
<b>Experience / Education:</b>
<br/>
<ul>
<li> Grade 10</li>
<li> 1-2 Years’ experience in Electronic Imaging Processes.</li>
<li> 6–12 Months experience in File Store Activities.</li>
</ul>
<br/>
<b> Technical knowledge of Electronic Imaging Processes:</b>
<br/> Preparation of documents (Identify the different documents to be scanned).
 <br/> Scanning of documents (Operator on EIP Machines).
 <br/> Indexing of documents (Document Indexing Identification Codes).
 <br/>
<br/>
<b>Computer Literate:</b>
<br/>
<ul>
<li> JHH – IA Compatible Scan Module.</li>
<li> JHH – IA Compatible Index Module.</li>
<li> INPUT ACCEL Software/System.</li>
</ul> Document Management process knowledge (Operational).
 <br/> Document Management policies (Administrative).
 <br/>
<br/>
<b>Key Performance Areas:</b>
<br/>
<b>Preparation of documents to be scanned:</b>
<br/>
<ul>
<li> Determine accuracy of policy number and documents to be scanned.</li>
<li> Sorting &amp; Identification of documents to be scanned.</li>
<li> Sorting &amp; Identification of documents not to be scanned.</li>
<li> Correct insertion of Patch Pages.</li>
</ul>
<br/>
<b> Scanning of Documents:</b>
<br/>
<ul>
<li> Operating the scanning machines according to scanner guidelines.</li>
<li> Liaise with preparation team members about priority list as per SLA.</li>
<li> Scanned documents as requested by preparation members.</li>
</ul>
<br/>
<b> Indexing of Documents:</b>
<br/>
<ul>
<li> Index documents as received from scanning queues.</li>
<li> Accurate identification of documents manually and electronically.</li>
<li> Adhere to the Safety, Health, Environmental and Quality (SHEQ) Management System’s Policies &amp; Procedures of as applicable to this position</li>
<li> Any reasonable action requested by management.</li>
</ul>
<b> Competencies required:</b>
<br/> Output &amp; Result orientation.
 <br/> Accuracy, Drive, Willpower and Consistency
 <br/> Attention to detail.
 <br/> Ability to work under pressure.
 <br/> Initiative and problem solving.
 <br/> Must be reliable.
 <br/> Planning &amp; Organising.
 <br/> Judgement ability.
 <br/> Client Service orientation.
 <br/> Ability to communicate with all levels team members.
 <br/> Excellent interpersonal skills.
 <br/> Quality Assurance.
 <br/> Business Awareness.
</div></div>",https://za.indeed.com/rc/clk?jk=428cfef9d9a8308d&bb=W6OEXL3b5Q6LAxJUw5L4x75_zxjxX2rLgo4le388i7sJ_OdL3HtG_JQxlPokya0_LlHIALMXR12nMZG4eZg2b6MsewxpiCN8p5KABHW6Vvk%3D&xkcb=SoB767M3G_OERUwsXx0PbzkdCdPP&fccid=b041bb3db723387a&vjs=3
Part Time Sales Consultant - iStore Cape Gate,Core Group,"Cape Town, Western Cape",,Part-time,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
<p><b>Calling All Tech Enthusiasts and Customer Champions:</b></p>
<p> Are you a tech-savvy dynamo with a flair for retail and an unstoppable charm?</p>
<p> Do you light up when talking about Apple products and can't wait to share that excitement with others? We want you on our team! As an iStore Sales Consultant, you'll not only be selling products; you'll be creating unforgettable experiences for every customer who walks through our doors.</p>
<p></p>
<p><b><br/> Experience the Thrill:</b></p>
<p> Your days will be brimming with energy as you engage with customers, getting to know their needs and desires. Armed with the latest Apple knowledge, you'll present them with tailored solutions that leave them awestruck. Picture yourself guiding eager hands across sleek Apple devices, unleashing their potential with each tap and swipe.</p>
<p></p>
<p><b><br/> Empowered for Success:</b></p>
<p> We're not just looking for someone to fill a role; we're searching for a passionate individual eager to grow with us. Fear not, for we will equip you with the knowledge and tools needed to conquer the Apple universe! Whether you're a seasoned sales pro or a tech enthusiast looking to take flight, we'll provide you with all the training and support to make your mark.</p>
<p><b> What you need to apply: </b></p>
<ul>
<li><i>Minimum of a Matric certificate, with a min of a diploma pass level</i></li>
<li><i> Some sales experience, preferably in retail, or strong product knowledge would be advantageous.</i></li>
</ul>
</div>
<p></p></div>",https://za.indeed.com/rc/clk?jk=aee7095d09eea4c8&bb=W6OEXL3b5Q6LAxJUw5L4x2AQ9Sa4d9dfXnyiELqyRaOvmHZr76bgN6_PjGkvMIRT9JQ75Zo2TbyWtC3C93eCGfHjaQHk1bwJrI_-JMZ_DQQ%3D&xkcb=SoDP67M3G_OERUwsXx0ObzkdCdPP&fccid=ba76830f50ef11d3&vjs=3
Assistant Housekeeper,PULLMAN,"Cape Town, Western Cape",,Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
<b>Company Description</b>
<p><br/> ""Why work for Accor?<br/> We are far more than a worldwide leader. We welcome you as you are and you can find a job and brand that matches your personality. We support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore Accor’s limitless possibilities.<br/> By joining Accor, every chapter of your story is yours to write and together we can imagine tomorrow's hospitality. Discover the life that awaits you at Accor, visit https://careers.accor.com/<br/> Do what you love, care for the world, dare to challenge the status quo! #BELIMITLESS""</p>
<b><br/> Job Description</b>
<p><br/> Reporting to the Assistant Housekeeper, responsibilities and essential job functions include but are not limited to the following:</p>
<ul>
<li> Consistently offer professional, friendly and engaging service.</li>
<li> Lead and assist the Assistant Executive Housekeeper in the day-to-day operation of the department and ensure service standards are followed.</li>
<li> Conduct regular inspections of all guest rooms / Public Areas.</li>
<li> Identify training needs and train all Supervisors and Colleagues as required.</li>
<li> Work closely with the Maintenance department to address all guest room repairs and ensure proper communication channels are followed through.</li>
<li> Address all guest concerns and react quickly, logging and notifying proper departments accordingly.</li>
<li> Balance operational, administrative and Colleague needs.</li>
<li> Follow departmental policies and procedures.</li>
<li> Report necessary maintenance items.</li>
<li> Follow all safety and sanitation policies.</li>
<li> Assists with other responsibilities and duties in the absence of a team members or other tasks assigned by the manager.</li>
<li> Follows all policies and procedures ascertained by the hotel.</li>
<li> Attend meetings and training sessions as required.</li>
<li> Any additional duties assigned.</li>
</ul>
<br/>
<b> Qualifications</b>
<br/>
<ul>
<li> Previous leadership experience required.</li>
<li> Computer literate in Microsoft Window applications an asset.</li>
<li> University/College degree in a related discipline an asset.</li>
<li> Excellent communication and organizational skills.</li>
<li> Strong interpersonal and problem solving abilities.</li>
<li> Highly responsible &amp; reliable.</li>
<li> Ability to work cohesively as part of a team.</li>
<li> Ability to focus attention on guest needs, remaining calm and courteous at all time.</li>
</ul>
</div></div>",https://za.indeed.com/rc/clk?jk=242dbdc47ce3a4b1&bb=W6OEXL3b5Q6LAxJUw5L4x1veXj5b4Tip1cIdz8ZRLd0wazaTFor4qijARGxpBjrC8F1NkCsz5UEQfQ66TIB9Ip1163fKcKZ_02fZ2xYLgMw%3D&xkcb=SoAx67M3G_OERXQsXx0LbzkdCdPP&fccid=6fff43ce01ed46bd&vjs=3
Cycle Counter - BUCO Claremont,The Building Company,"Claremont, Western Cape",,Full-time,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
<ul>
<li>Ensuring that the store is binned</li>
</ul>
<ul>
<li>Counting of Locations</li>
</ul>
<ul>
<li>Stock investigations</li>
</ul>
<ul>
<li>Ensure Standards and Protocol adherence</li>
</ul>
<ul>
<li>To uphold and promote the company values and culture</li>
</ul>
</div>
<br/>
<div>
<p>Grade 12</p>
<p> 2 years’ related experience</p>
</div></div>",https://za.indeed.com/rc/clk?jk=64440bbaf2fb53fb&bb=W6OEXL3b5Q6LAxJUw5L4x19MiJwh0eS-VgAZZedivXDh-vkzYB2EeZ5qTHGKQe7SVZTdwSkVoR-XEXEIrYAYjz0cRDZO4dKIbVZ8IMpNvEQ%3D&xkcb=SoCF67M3G_OERXQsXx0KbzkdCdPP&fccid=08050b38057a0742&vjs=3
General Assistant - BUCO Seapoint,The Building Company,"Sea Point, Western Cape",,Full-time,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
<ul>
<li>Provide customers and drivers with accurately prepared orders Assist with loading and offloading of Vehicles</li>
</ul>
<ul>
<li>To provide prompt and efficient assistance to customers and suppliers with loading and offloading of their vehicles</li>
</ul>
<ul>
<li>To ensure that yard stock items are neatly packed and accessible</li>
</ul>
<ul>
<li>To ensure that vehicles are clean and loaded safely</li>
</ul>
<ul>
<li>To provide prompt and efficient assistance to customers and suppliers regarding workshop/joinery</li>
</ul>
<ul>
<li>Complete Wash Bay activities accurately</li>
</ul>
<ul>
<li>To ensure that store shelves, boards and other stock items are neatly packed and accessible for customers</li>
</ul>
<ul>
<li>To uphold and promote the company values and culture</li>
</ul>
</div>
<br/>
<div>
<p>Grade 12</p>
<p> Product knowledge</p>
</div></div>",https://za.indeed.com/rc/clk?jk=082bf902f6b0b9e7&bb=W6OEXL3b5Q6LAxJUw5L4x94jJ7CjZwxRXfaOiMqAP7ki0n8PMopslOG3zV2QPWJ0iWGcsfwKqpSrNWX_U_oBnr7l_4Ebla_hV8_GLOcPPZY%3D&xkcb=SoAY67M3G_OERXQsXx0JbzkdCdPP&fccid=08050b38057a0742&vjs=3
Customer Service Representative,Foundever,"Cape Town, Western Cape",,Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
<b>Customer Service Advisor</b>
<br/>
<br/>
<b>Salary</b> - Minimum 7500 per Month Plus Medical &amp; Pension.
 <br/>
<b>Location </b>- Waterfront Cape Town.
 <br/>
<b>Working Pattern</b> - 40 Hours per week between Monday to Sunday 08:00 - 22:00 (you would need to be fully flexible to work between these hours) Hours may differ dependant on campaign opening times
 <br/>
<b>Contract Type - </b>Permanent 
 <br/>
<br/> Your working life is how you spend a large proportion of your time. Why not spend it realising your potential? At 
 <b>Foundever</b> we focus on you and, with your drive, look to 
 <b>create your best moments</b>
<br/>
<br/>
<b>Why work for Foundever?</b>
<br/>
<br/> We have 
 <b>launched our first site in Cape Town</b> and would love for you to be the founders of the original South African teams. 
 <br/>
<br/> With a customer service career at Foundever, you will continue to learn life-long skills through our top-notch paid training programmes, allowing you to develop and strive up the career ladder. As the founders in our new site the opportunity for growth and progression will be even greater.
 <br/>
<br/> If you would like to have the opportunity to work with our varied and well-known brands, be part of a brilliant and supportive culture that makes a positive impact in the communities where it operates, have a balanced work-life pattern and competitive salary, we want to hear from you.
 <br/>
<br/>
<b>What you'll be doing.</b>
<br/>
<br/> We work with a number of well known clients and we are looking for someone special who would like to deliver amazing customer service in a bustling contact centre. If you get a buzz from helping people find solutions and are naturally engaging then this is the job for you.
 <br/>
<br/>
<b>What we do for you to achieve this.</b>
<br/>
<br/> We will provide you with the training and support for you to develop the skills in providing solutions to customers' concerns, engaging with your customers and solving their issues.
 <br/>
<br/> You will receive regular coaching and training, not only assisting you to achieve in your current role but also in preparing you for your 
 <b>next step</b> within the organisation.
 <br/>
<br/>
<b>Key Responsibilities.</b>
<br/>
<br/> Once you have completed our full induction and training experience, you will be responsible for representing one of our many clients in handling calls which is made up of:
 <br/>
<ul>
<li>Listening to customer concerns and providing information, answers, or responses. </li>
<li>Obtaining and correctly capturing of customer information. </li>
<li>Reviewing and making changes to customer accounts where applicable. </li>
<li>Keeping records of customer interactions. </li>
<li>Ensuring customer satisfaction.</li>
</ul>
<br/>
<b> Your Profile &amp; Experience.</b>
<br/>
<br/> To join our team we are looking for people with a minimum of 
 <b>1 years experience</b> working in a Contact Centre undertaking a customer service role. We ask that you have a passion for helping people and are able to talk on the phone. 
 <br/>
<br/>
<b>The essential skills we ask for are.</b>
<br/>
<ul>
<li><b>Good communication skills:</b> the ability to clearly and effectively communicate with customers over the phone.</li>
<li><b>Empathy:</b> the ability to understand and relate to the customer's perspective.</li>
<li><b>Patience:</b> the ability to remain calm and composed.</li>
<li><b>Adaptability:</b> the ability to handle a wide variety of customer interactions and adjust communication style as necessary.</li>
<li><b>Positive attitude:</b> the ability to remain positive and upbeat even during difficult customer interactions.</li>
<li><b>Advantageous:</b> Knowledge of customer service best practices and call centre technology.</li>
<li><b>Education:</b> Minimum Grade 12.</li>
<li><b>Background:</b> A clear criminal background and credit check.</li>
</ul>
<br/>
<b> If this really interests you...</b>
<br/>
<br/> ...and you are attracted to pushing yourself to a rewarding career, then please apply now and our Recruitment Team will be more than happy to speak with you.
 <br/>
<br/> Once you apply, you'll be taken through an online assessment called ""Harver"". We use Harver to assess your spoken English proficiency, spoken English pronunciation, listening comprehension and Customer Service abilities. The assessment will take around 20 - 30 minutes and we urge you to complete this to the best of your ability in a quiet environment. The score you achieve for your English proficiency and English pronunciation will determine as to whether we will be able to take you to the next stage in your application. If you fail this for any reason, you will be notified.
 <br/>
<br/> We look forward to receiving your application! 
 <br/>
<br/>
<b>[ever] </b>
<b>creative.</b>
<b> [ever] </b>
<b>committed.</b>
<b> [ever] </b>
<b>connected.</b>
<br/>
<br/>
<b>Customer Service Representative</b>
</div></div>",https://za.indeed.com/rc/clk?jk=7f22ae738feed184&bb=W6OEXL3b5Q6LAxJUw5L4x9hOI9Kuv4RynvPQ5bwOLEtRD0slzGxqx3mHFLhKBu_6FbxshH7ziXXacBDVQzNGMSQq_-E3fDVI2b7jFhTeerQ%3D&xkcb=SoCs67M3G_OERXQsXx0IbzkdCdPP&fccid=de7ce6e51b5e61eb&vjs=3
Packaging Buyer,Cape Herb & Spice,"Maitland, Western Cape",,Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
 Reporting: Team Lead- Packaging 
 <br/> Location: Maitland
 <br/>
<br/>
<b>Purpose:</b>
<br/> Cape Herb &amp; Spice is looking for a dynamic and innovative Packaging Buyer to join our packaging procurement team. 
 <br/>
<ul>
<li>You would play a key role in sourcing and procuring high-quality packaging materials for our local and international clients. </li>
<li>With a focus on delivering exceptional value for money and ensuring timely delivery of products, you will contribute to the success and growth of our clients' businesses, collaborate with internal stakeholders to understand packaging requirements and develop effective procurement strategies. </li>
<li>Research, identify, and evaluate potential packaging suppliers, considering factors such as quality, cost, and sustainability. </li>
<li>Manage supplier relationships and resolve any issues or concerns that may arise. </li>
<li>Monitor and manage inventory levels to ensure adequate supply and minimize waste. </li>
<li>Stay informed about industry trends and advancements in packaging materials and technologies. </li>
</ul>
<br/>
<b>Role Objectives:</b>
<br/>
<ul>
<li>Packaging Development &amp; Innovation</li>
<li>Packaging Problem Solving &amp; Solutions</li>
<li>Provide support and assistance to the Packaging lead</li>
</ul>
<br/>
<b> Key Functional Duties:</b>
<br/>
<ul>
<li>Identify sustainable and cost saving packaging opportunities in Gifting &amp; Spice</li>
<li>Sourcing &amp; development including trialing process &amp; problem solving</li>
<li>Provide Technical support</li>
<li>Running daily reports on stock, minimum inventory and production planning</li>
<li>Placing daily orders to suppliers</li>
<li>Ensure timely and efficient delivery of goods and services</li>
<li>Communication and follow ups with Key suppliers on a regular basis</li>
<li>General Administration</li>
<li>Attend and prepare for weekly SOP meetings</li>
<li>Keep abreast of and research new packaging concepts, trends, market activity and innovation within the relevant categories (gifting)</li>
<li>Identify sustainable &amp; cost saving packaging solutions across the business (gifting &amp; spice)</li>
<li>Identify opportunities to reduce packaging costs (cost saving) while still maintaining product quality</li>
<li>Problem solving &amp; identifying packaging solutions to allow for better product functionality</li>
<li>Assist in packaging samples during development</li>
<li>Assisting in packaging trials &amp; development</li>
<li>Technical problem solving support to internal departments (NPD &amp; Procurement).</li>
<li>Assisting with supplier quotations &amp; liaison (gifting)</li>
<li>Provide support and assistance to the Packaging lead</li>
</ul>
<br/>
<b> Education &amp; Required Knowledge:</b>
<br/>
<ul>
<li>Either a degree or an equivalent of the below degree and 2 - 4 years’ similar experience that aligns to our Packaging Buyer Key functional duties </li>
</ul>o Packaging Technology 
 <br/> o Project Management
 <br/> o Relevant business and/or logistics degree
 <br/>
<ul>
<li>Advantageous experience in:</li>
</ul> o Graphic Design (including packaging design)
 <br/> o Product Development
 <br/> o Commercial 
 <br/> o Syspro 
 <br/>
<ul>
<li>Computer Literacy (Microsoft office)</li>
<li>Excel Fluency – Intermediate level</li>
<li>Excellent verbal and written communication in English</li>
<li>Technical knowledge and understanding of printing process and specs</li>
</ul>
<br/>
<b> Personal Characteristics:</b>
<br/>
<ul>
<li>Deadline driven </li>
<li>An innovative thinker</li>
<li>Proactive and enthusiastic</li>
<li>High attention to detail</li>
<li>Ability to work in a high pressure and fast paced environment</li>
<li>Ability to multi- task between multiple projects</li>
<li>Ability to work independently and as part of a team</li>
<li>Strong project management &amp; coordination skill.</li>
<li>Optimistic solution finder</li>
<li>Commercially minded</li>
<li>Excellent communication skills</li>
<li>Strong interpersonal skills</li>
<li>Optimistic &amp; positive outlook</li>
</ul>
<br/>
<b> To consider any application for employment, we will have to process your personal information. The Protection of Personal Information Act, 4 of 2013 (POPIA), provides that when one processes another’s personal information, such collection, retention, dissemination and use of that person’s personal information must be done in a lawful and transparent manner. </b>
<br/>
<br/>
<b>To give effect to the above, we are required to provide you with information regarding the processing of your personal information. This information is recorded under the HR Processing Notice, which can be accessed and viewed on the Company website at https://www.libstar.co.za/legal/. Printed copies of this Processing Notice can also be accessed from the HR department. We kindly request that you read the HR Processing Notice to ensure that you understand how Libstar uses and processes your personal information.</b>
</div></div>",https://za.indeed.com/rc/clk?jk=a6646d728d487814&bb=W6OEXL3b5Q6LAxJUw5L4x0XasARPJYp7zhnsjl6UNpdd-YRZPvI7Tv796vCDZkBfqZDUOyyXUMsl9ZdXWyKB_clQaoK66XK9WenZF_yl-mk%3D&xkcb=SoAi67M3G_OERXQsXx0PbzkdCdPP&fccid=d666a59b46146a62&vjs=3
Handyperson,Growthpoint Properties,"Cape Town, Western Cape",,Full-time,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
<p>Job Title and Job Grade</p>
<p> Handyperson</p>
<p> Job grade: B2</p>
<p> Job Purpose</p>
<p> Ensure that the house-keeping or general maintenance of the building/s and other Handyperson duties are undertaken with respect to Growthpoint’s planned maintenance and emergency work programme.</p>
<p> Role Location</p>
<p> The District, Roggebaai Place, Cape Town, 8001.</p>
<p> Working Conditions</p>
<ul>
<li>Ability to work after hours and on weekends when required.</li>
<li>Must be willing to a hands-on approach – plumbing, HVAC installations, fire regulations.</li>
</ul>
<p> Reporting Manager</p>
<p> The Handyperson reports to the Building Manager.</p>
<p> Direct Subordinates</p>
<p> No direct subordinates.</p>
<p> Budget Responsibility</p>
<p> No budget responsibility.</p>
<p> Duties and responsibilities</p>
<ul>
<li>Ensure that compliance is maintained within required building and statutory regulations and Growthpoint standards.</li>
<li>Maintenance of efficient responses/feedback to complaints/queries received from tenants.</li>
<li>Carry out general maintenance or housekeeping duties as directed by work instructions.</li>
<li>All administration/correspondence and follow up functions related to the position.</li>
</ul>
</div>
<br/>
<div>
<p>Experience</p>
<ul>
<li>Minimum 3 years’ relevant experience.</li>
<li>Basic literacy skills (read and write English).</li>
</ul>
<br/> Qualifications 
 <ul>
<li>Matric plus OR must have a Handyperson Course Certificate.</li>
<li>Plumbing maintenance experience is highly preferred.</li>
<li>A relevant trade qualification will be advantageous.</li>
</ul>
<p> Competencies</p>
<ul>
<li>Basic knowledge of the methods, material, tools, equipment, safety hazards and the safety precautions used in building management (Appropriate use of tools and experience in using them is necessary).</li>
<li>Painting, tiling, changing of bulbs and other general Handyperson skills.</li>
<li>Tenant liaison experience is essential.</li>
<li>Driver’s license and own transport (advantageous).</li>
</ul>
<p> Media Links<br/> https://growthpoint.co.za/</p>
</div></div>",https://za.indeed.com/rc/clk?jk=fbc0fc257adc1d83&bb=W6OEXL3b5Q6LAxJUw5L4x8BnQHmzVSB3DNolPTOzB8SV-Wl7PT6AW8O5uBYRaaibyDNtQ1QeuwzoMQPqLIvhyFgHPQxRPad3t17VOflnDrc%3D&xkcb=SoCW67M3G_OERXQsXx0ObzkdCdPP&fccid=d67f4db96a6da922&vjs=3
